# node,t-statistic,p-value,controls_mean,controls_std,controls_n,controls_ci,patients_mean,patients_std,patients_n,patients_ci
59.00000000,2.18367147,0.03064019,204.00000000,4.26874949,18.00000000,1.97206165,201.00800000,5.54039132,125.00000000,0.97127342
60.00000000,0.85310168,0.39504979,233.55555556,3.23560440,18.00000000,1.49477297,232.76800000,3.69028129,125.00000000,0.64693483
61.00000000,-0.30517767,0.76068088,232.00000000,2.00000000,18.00000000,0.92395286,232.20800000,2.76924827,125.00000000,0.48547063
62.00000000,2.08564815,0.03881259,220.88888889,2.33068633,18.00000000,1.07672215,218.57600000,4.58739839,125.00000000,0.80420640
63.00000000,0.22372247,0.82329709,236.33333333,1.91485422,18.00000000,0.88461752,236.19200000,2.56029998,125.00000000,0.44884038
64.00000000,2.91638823,0.00412132,220.88888889,1.91162784,18.00000000,0.88312700,216.32000000,6.56000000,125.00000000,1.15001871
65.00000000,1.45265092,0.14854248,247.22222222,3.72014868,18.00000000,1.71862101,245.36000000,5.21290706,125.00000000,0.91386290
66.00000000,-1.08104666,0.28152188,234.44444444,6.16641641,18.00000000,2.84873904,235.71200000,4.35029378,125.00000000,0.76264013
67.00000000,2.04562507,0.04265236,244.44444444,1.42291650,18.00000000,0.65735388,243.53600000,1.79128557,125.00000000,0.31402621
68.00000000,1.29436918,0.19765379,282.33333333,1.91485422,18.00000000,0.88461752,281.28000000,3.35046265,125.00000000,0.58736200
69.00000000,1.25006112,0.21334799,220.44444444,3.43547219,18.00000000,1.58710718,218.92800000,4.94153984,125.00000000,0.86629013
70.00000000,2.33726903,0.02083255,258.66666667,1.33333333,18.00000000,0.61596857,256.11200000,4.57683908,125.00000000,0.80235527
71.00000000,2.08465519,0.03890413,267.33333333,0.94280904,18.00000000,0.43555556,265.88800000,2.89887150,125.00000000,0.50819458
72.00000000,2.34256504,0.02055044,279.88888889,1.69603750,18.00000000,0.78352935,277.32800000,4.56030876,125.00000000,0.79945737
73.00000000,2.19980493,0.02944922,270.88888889,2.33068633,18.00000000,1.07672215,267.72800000,5.98849029,125.00000000,1.04982864
74.00000000,1.99844328,0.04759152,250.22222222,2.09644025,18.00000000,0.96850598,248.20800000,4.17093946,125.00000000,0.73119793
75.00000000,1.25829492,0.21036474,189.22222222,2.50678093,18.00000000,1.15807370,188.03200000,3.86975141,125.00000000,0.67839733
76.00000000,-0.50386412,0.61514322,266.11111111,4.08097059,18.00000000,1.88531223,266.83200000,5.82509880,125.00000000,1.02118484
