# node,t-statistic,p-value,controls_mean,controls_std,controls_n,controls_ci,patients_mean,patients_std,patients_n,patients_ci
56.00000000,2.22657522,0.02756175,0.41022354,0.03935460,18.00000000,0.01818090,0.38251400,0.05025686,125.00000000,0.00881042
57.00000000,0.70294228,0.48325072,0.35788799,0.02794462,18.00000000,0.01290976,0.35074036,0.04150378,125.00000000,0.00727593
58.00000000,0.90903777,0.36488139,0.41633545,0.04648783,18.00000000,0.02147628,0.40640828,0.04249024,125.00000000,0.00744887
59.00000000,2.96075906,0.00360172,0.34516779,0.04750651,18.00000000,0.02194689,0.31509746,0.03880397,125.00000000,0.00680264
60.00000000,2.17643681,0.03118769,0.42223363,0.05936241,18.00000000,0.02742403,0.39624796,0.04497359,125.00000000,0.00788422
61.00000000,1.67053634,0.09703160,0.40385066,0.04712595,18.00000000,0.02177108,0.38628272,0.04053444,125.00000000,0.00710600
62.00000000,1.92999385,0.05561538,0.37148625,0.04302172,18.00000000,0.01987502,0.35070803,0.04231545,125.00000000,0.00741823
63.00000000,1.82862009,0.06956978,0.38802093,0.04191152,18.00000000,0.01936213,0.36942416,0.03978285,125.00000000,0.00697424
64.00000000,1.79690679,0.07449095,0.38317012,0.03103151,18.00000000,0.01433582,0.36583525,0.03889845,125.00000000,0.00681920
65.00000000,2.10467316,0.03709395,0.44115438,0.04582782,18.00000000,0.02117137,0.41792999,0.04311233,125.00000000,0.00755792
66.00000000,1.52893009,0.12852210,0.40011201,0.04473921,18.00000000,0.02066846,0.38354206,0.04238359,125.00000000,0.00743017
67.00000000,1.72813963,0.08615245,0.45347730,0.05074701,18.00000000,0.02344392,0.43274932,0.04671748,125.00000000,0.00818994
68.00000000,2.45917432,0.01513613,0.46587386,0.03744796,18.00000000,0.01730008,0.44198346,0.03838093,125.00000000,0.00672847
69.00000000,2.21250913,0.02853992,0.37331035,0.03371208,18.00000000,0.01557419,0.35187650,0.03875568,125.00000000,0.00679417
70.00000000,1.22877059,0.22120470,0.41084528,0.04073164,18.00000000,0.01881706,0.39739516,0.04344649,125.00000000,0.00761651
71.00000000,0.14223934,0.88709400,0.45378285,0.03534732,18.00000000,0.01632963,0.45243774,0.03751386,125.00000000,0.00657647
72.00000000,2.51942945,0.01286995,0.47990780,0.04163450,18.00000000,0.01923416,0.45413556,0.04009454,125.00000000,0.00702888
73.00000000,0.71527236,0.47562348,0.41742827,0.03098436,18.00000000,0.01431404,0.41094211,0.03634832,125.00000000,0.00637214
74.00000000,2.22265209,0.02783158,0.42185493,0.04329868,18.00000000,0.02000297,0.39933574,0.03939423,125.00000000,0.00690611
75.00000000,2.55526849,0.01167071,0.35375098,0.04563255,18.00000000,0.02108116,0.33000483,0.03511249,125.00000000,0.00615549
76.00000000,2.88536218,0.00452456,0.42609584,0.04001555,18.00000000,0.01848624,0.39932538,0.03601696,125.00000000,0.00631405
